State,Total Population,Number of CoCs,"Overall Homeless, 2019","Overall Homeless - Under 18, 2019","Overall Homeless - Age 18 to 24, 2019","Overall Homeless - Over 24, 2019","Overall Homeless - Female, 2019","Overall Homeless - Male, 2019","Overall Homeless - Transgender, 2019","Overall Homeless - Gender Non-Conforming, 2019","Overall Homeless - Non-Hispanic/Non-Latino, 2019","Overall Homeless - Hispanic/Latino, 2019","Overall Homeless - White, 2019","Overall Homeless - Black or African American, 2019","Overall Homeless - Asian, 2019","Overall Homeless - American Indian or Alaska Native, 2019","Overall Homeless - Native Hawaiian or Other Pacific Islander, 2019","Overall Homeless - Multiple Races, 2019"
AK,"731,545",2,"1,907",335,204,"1,368",761,"1,137",6,3,"1,802",105,667,164,36,764,73,203
AL,"4,903,185",8,"3,261",629,199,"2,433","1,383","1,873",3,2,"3,161",100,"1,380","1,741",7,55,9,69
AR,"3,017,804",5,"2,717",303,317,"2,097","1,022","1,688",4,3,"2,657",60,"1,651",902,4,36,24,100
AZ,"7,278,717",3,"10,007","1,602",708,"7,697","3,683","6,297",16,11,"7,683","2,324","6,316","1,908",48,919,59,757
CA,"39,512,223",44,"151,278","14,305","12,673","124,300","50,467","98,404","1,764",643,"103,759","47,519","82,164","44,086","2,606","6,797","2,177","13,448"
CO,"5,758,736",3,"9,619","1,458",685,"7,476","3,238","6,289",54,38,"7,410","2,209","6,251","1,678",65,586,100,939
CT,"3,565,287",2,"3,033",588,272,"2,173","1,133","1,895",4,1,"2,135",898,"1,561","1,150",15,24,53,230
DC,"705,749",1,"6,521","1,606",546,"4,369","2,649","3,823",40,9,"6,205",316,413,"5,829",32,42,19,186
DE,"973,764",1,921,220,83,618,373,546,1,1,838,83,372,478,2,4,10,55
FL,"21,477,737",27,"28,328","4,703","1,625","22,000","9,884","18,357",67,20,"24,632","3,696","15,580","11,575",108,233,92,740
GA,"10,617,423",9,"10,443","1,679",642,"8,122","3,765","6,610",57,11,"9,900",543,"3,175","6,804",62,70,17,315
GU,,1,875,334,95,446,427,448,0,0,825,50,13,5,31,3,791,32
HI,"1,415,872",2,"6,412","1,177",323,"4,912","2,591","3,778",37,6,"5,557",855,"1,445",237,562,42,"2,013","2,113"
IA,"3,155,070",3,"2,315",495,187,"1,633",917,"1,395",2,1,"2,118",197,"1,531",566,20,91,8,99
ID,"1,787,065",2,"2,315",473,220,"1,622",920,"1,392",0,3,"2,058",257,"1,903",73,12,165,33,129
IL,"12,671,821",19,"10,199","2,355",926,"6,918","4,241","5,914",31,13,"9,167","1,032","3,579","6,218",90,67,21,224
IN,"6,732,219",2,"5,471","1,092",327,"4,052","2,205","3,246",15,5,"5,227",244,"3,289","1,932",25,44,18,163
KS,"2,913,314",5,"2,381",383,150,"1,848",932,"1,445",1,3,"2,135",246,"1,518",526,18,116,24,179
KY,"4,467,673",3,"4,079",629,308,"3,142","1,584","2,492",3,0,"3,932",147,"2,867",959,11,23,5,214
LA,"4,648,794",7,"2,941",375,182,"2,384",867,"2,058",9,7,"2,860",81,"1,137","1,706",7,34,7,50
MA,"6,892,503",15,"18,471","7,357","1,540","9,574","9,118","9,311",28,14,"11,091","7,380","9,679","6,436",164,125,91,"1,976"
MD,"6,045,680",16,"6,561","1,214",399,"4,948","2,490","4,047",22,2,"6,292",269,"2,385","3,778",46,45,26,281
ME,"1,344,212",1,"2,106",541,147,"1,418",995,"1,094",13,4,"2,006",100,"1,581",375,9,43,6,92
MI,"9,986,857",21,"8,575","2,231",712,"5,632","3,532","5,026",13,4,"7,989",586,"3,740","4,286",41,95,13,400
MN,"5,639,632",10,"7,977","2,157",900,"4,920","3,554","4,385",29,9,"7,396",581,"2,785","3,453",109,940,57,633
MO,"6,137,428",8,"6,179","1,359",545,"4,275","2,696","3,451",20,12,"5,872",307,"3,164","2,568",29,74,25,319
MP,,1,"1,807",586,191,"1,030",837,970,0,0,"1,807",0,1,1,494,0,"1,281",30
MS,"2,976,149",3,"1,184",152,55,977,417,752,0,15,"1,156",28,561,574,6,6,1,36
MT,"1,068,778",1,"1,357",250,111,996,555,793,4,5,"1,211",146,905,36,8,234,12,162
NC,"10,488,084",12,"9,314","1,553",532,"7,229","3,576","5,716",12,10,"8,903",411,"3,992","4,832",31,94,19,346
ND,"762,062",1,557,127,74,356,178,378,1,0,475,82,322,90,1,101,7,36
NE,"1,934,408",3,"2,365",423,185,"1,757",866,"1,494",4,1,"2,104",261,"1,580",546,13,73,4,149
NH,"1,359,711",3,"1,396",352,117,927,626,758,3,9,"1,231",165,"1,172",100,9,5,6,104
