"Race and Hispanic origin of householder
and year",Number (thousands),Total percent,"percent Under $15,000","percent $15,000
to
$24,999","percent $25,000
to
$34,999","percent $35,000
to
$49,999","percent $50,000
to
$74,999","percent $75,000
to
$99,999","percent $100,000
to
$149,999","percent $150,000
to
$199,999","percent $200,000 and over",Median income Estimate (Dollars),median Margin of error1 (±),Mean income Estimate,mean Margin of error1 (±),race
2019,"128,451",100,9.1,8,8.3,11.7,16.5,12.3,15.5,8.3,10.3,"68,703",904,"98,088","1,042",ALL RACES
2018,"128,579",100,10.1,8.8,8.7,12,17,12.5,15,7.2,8.8,"64,324",704,"91,652",914,ALL RACES
2017,"127,586",100,10.1,9.1,9.2,11.9,16.3,12.6,14.8,7.5,8.5,"64,007",575,"89,922",892,ALL RACES
2016,"126,224",100,10.4,9,9.2,12.3,16.7,12.2,15,7.2,8,"62,898",764,"88,578",822,ALL RACES
2015,"125,819",100,10.6,10,9.6,12.1,16.1,12.4,14.9,7.1,7.2,"60,987",570,"85,533",715,ALL RACES
2014,"124,587",100,11.4,10.5,9.6,12.6,16.4,12.1,14,6.6,6.8,"58,001",697,"81,870",793,ALL RACES
2013 3,"123,931",100,11.4,10.3,9.5,12.5,16.8,12,13.9,6.7,6.9,"58,904","1,183","82,660","1,201",ALL RACES
2012,"122,459",100,11.4,10.6,10.1,12.5,17.4,12,13.9,6.3,5.9,"56,912",384,"79,510",773,ALL RACES
2011,"121,084",100,11.6,10.2,10.2,13.1,17.2,11.9,13.8,6.2,5.8,"57,021",470,"79,375",690,ALL RACES
2010 5,"119,927",100,11.2,10.7,9.4,13.3,16.8,12.4,14.1,6.3,5.9,"57,904",628,"79,192",696,ALL RACES
2009 6,"117,538",100,10.4,10,9.7,13.2,17.4,12.4,14.5,6.3,6,"59,458",419,"81,196",477,ALL RACES
2008,"117,181",100,10.4,10,9.4,13.4,17,12.5,15,6.3,6,"59,877",268,"81,447",474,ALL RACES
2007,"116,783",100,10,10,9,12.8,17.3,12.6,15.3,6.7,6.4,"62,090",285,"83,568",480,ALL RACES
2006,"116,011",100,9.6,9.5,9.4,13,17.5,12.7,15,6.7,6.5,"61,268",433,"84,617",537,ALL RACES
2005,"114,384",100,10.1,9.8,9.5,12.7,17.6,12.9,14.7,6.5,6.2,"60,794",335,"83,127",516,ALL RACES
2004 7,"113,343",100,10.3,9.7,9.8,12.8,17.4,12.6,15,6.3,6.1,"60,150",437,"82,038",509,ALL RACES
2003,"112,000",100,10.2,9.7,9.7,12.4,17.4,12.7,15.3,6.3,6.2,"60,360",431,"82,305",495,ALL RACES
2002,"111,278",100,9.9,9.8,9.2,13.3,17.4,12.7,15.6,6.3,5.9,"60,435",326,"82,442",509,ALL RACES
2001,"109,297",100,9.7,9.6,9.1,12.9,17.7,12.8,15.6,6.3,6.2,"61,126",307,"84,257",552,ALL RACES
2000 8,"108,209",100,9.3,9.3,8.9,13.1,17.7,13.2,15.4,6.8,6.2,"62,512",323,"85,059",551,ALL RACES
1999 9,"106,434",100,9,9.7,9.1,13,17.5,13.3,15.6,6.6,6.3,"62,641",481,"84,254",719,ALL RACES
1998,"103,874",100,9.8,9.8,9.2,12.9,17.5,13.7,15.3,6.2,5.5,"61,128",595,"81,517",724,ALL RACES
1997,"102,528",100,10.3,10.3,9.4,13.2,18,13.3,14.7,5.8,5.1,"58,961",448,"79,175",729,ALL RACES
1996,"101,018",100,10.6,10.5,9.6,13.5,17.9,13.5,14.3,5.4,4.6,"57,772",479,"76,705",707,ALL RACES
1995 10,"99,627",100,10.5,10.4,10.2,13.1,18.8,13.3,14.2,5.1,4.3,"56,945",542,"75,096",676,ALL RACES
1994 11,"98,990",100,11.3,10.8,10.1,13.5,18.4,12.7,13.9,5.1,4.2,"55,215",414,"73,816",653,ALL RACES
1993 12,"97,107",100,11.8,10.6,10.1,13.7,18.4,13.1,13.5,4.9,3.9,"54,581",420,"72,379",644,ALL RACES
1992 13,"96,426",100,11.8,10.6,10.1,13.5,18.8,13.5,13.5,4.8,3.4,"54,874",427,"69,568",480,ALL RACES
1991,"95,669",100,11.6,10.3,9.8,14,19.1,13.5,13.7,4.8,3.3,"55,302",438,"69,613",471,ALL RACES
1990,"94,312",100,11.1,10.1,9.5,13.9,19.5,13.7,13.8,4.8,3.7,"56,966",479,"71,158",494,ALL RACES
1989,"93,347",100,10.8,10,9.6,13.4,19.2,13.9,14.3,5,3.9,"57,705",522,"72,904",522,ALL RACES
1988,"92,830",100,11.4,9.7,9.9,13.1,19.4,14,14.3,4.8,3.5,"56,725",456,"70,877",521,ALL RACES
1987 14,"91,124",100,11.6,10,9.9,13.6,18.9,14.2,13.9,4.6,3.3,"56,261",437,"69,968",472,ALL RACES
1986,"89,479",100,12,10,9.9,13.6,19.4,13.9,13.6,4.4,3.1,"55,597",474,"68,688",459,ALL RACES
1985 15,"88,458",100,12.1,10.6,10.1,14.3,19.8,13.6,13.1,3.9,2.6,"53,664",478,"66,043",430,ALL RACES
1984 16,"86,789",100,12.2,10.8,10.1,14.7,19.7,13.7,12.6,3.7,2.4,"52,679",394,"64,546",390,ALL RACES
1983,"85,407",100,12.7,10.9,10.6,14.8,20.1,13.3,11.9,3.4,2.2,"51,126",383,"62,181",383,ALL RACES
1982,"83,918",100,12.7,10.8,10.9,14.5,20.8,13.4,11.6,3.3,2.1,"51,487",382,"62,050",378,ALL RACES
1981,"83,527",100,12.5,10.9,11,14.3,20.6,14,11.8,3.1,1.8,"51,627",445,"61,677",370,ALL RACES
1980,"82,368",100,12.2,10.7,10.3,14.6,21.2,14,12,3.2,1.8,"52,461",443,"62,394",375,ALL RACES
1979 17,"80,776",100,11.8,10.2,10.2,14.4,20.5,15.1,12.2,3.4,2.1,"54,222",423,"64,410",401,ALL RACES
1978,"77,330",100,11.6,10.5,10.1,14.2,21,14.9,12.4,3.2,2,"54,326",362,"63,940",403,ALL RACES
1977,"76,030",100,11.9,11.2,10.5,14.2,21.3,14.7,11.6,2.9,1.8,"52,302",323,"62,044",311,ALL RACES
1976 18,"74,142",100,12,11.3,10.3,14.8,21.8,14.5,11.2,2.5,1.7,"51,973",317,"61,133",310,ALL RACES
1975 19,"72,867",100,12.4,11.4,10.7,14.7,22.1,14.3,10.5,2.4,1.5,"51,124",342,"59,698",306,ALL RACES
"1974 19, 20","71,163",100,11.8,10.7,10,15.3,22,14.9,10.9,2.7,1.6,"52,499",332,"61,393",316,ALL RACES
1973,"69,859",100,11.6,10.8,9.5,14.3,22.2,14.9,11.8,3,1.9,"54,216",339,"62,700",314,ALL RACES
1972 21,"68,251",100,12.4,10.3,10,14.7,22.4,14.7,10.9,2.7,1.8,"53,143",334,"61,851",316,ALL RACES
1971 22,"66,676",100,13.3,10.2,10.6,15.2,23.5,13.9,9.7,2.2,1.4,"50,960",325,"58,609",306,ALL RACES
1970,"64,778",100,13.3,10.1,9.7,15.7,24.1,13.7,9.9,2.2,1.4,"51,461",310,"58,926",310,ALL RACES
1969,"63,401",100,13.2,9.9,9.4,16,24.3,14.2,9.4,2.2,1.3,"51,863",315,"59,004",305,ALL RACES
1968,"62,214",100,13.4,10.1,10.4,16.5,24.8,13.7,8.2,1.8,1.1,"50,004",297,"56,572",297,ALL RACES
1967 23,"60,813",100,14.8,10.2,10.9,16.8,24.8,11.9,7.7,1.7,1.2,"47,938",287,"53,616",287,ALL RACES
2019,"100,568",100,7.8,7.5,8,11.5,16.7,12.7,16.3,8.7,10.8,"72,204",800,"101,732","1,192",WHITE ALONE
2018,"100,528",100,8.5,8.3,8.4,11.8,17.3,13.1,15.7,7.6,9.3,"68,156",657,"95,650","1,052",WHITE ALONE
2017,"100,065",100,8.6,8.7,8.9,11.7,16.5,12.9,15.7,8,9,"68,076",714,"93,480","1,033",WHITE ALONE
2016,"99,400",100,8.9,8.6,8.9,12.3,16.8,12.5,15.9,7.5,8.5,"65,901",585,"91,988",936,WHITE ALONE
2015,"99,313",100,8.9,9.5,9.4,12.2,16.3,12.9,15.8,7.4,7.6,"64,864",676,"88,731",834,WHITE ALONE
2014,"98,679",100,9.9,10.1,9.3,12.5,16.8,12.7,14.7,6.9,7.3,"61,470",631,"85,277",930,WHITE ALONE
2013 3,"98,807",100,9.8,10,9.2,12.4,17,12.7,14.5,7.1,7.3,"62,378",935,"85,551","1,371",WHITE ALONE
2012,"97,705",100,9.6,10.2,10,12.5,17.6,12.6,14.6,6.7,6.3,"59,912",705,"83,015",851,WHITE ALONE
2011,"96,964",100,9.8,9.6,10.1,13.1,17.6,12.4,14.5,6.6,6.2,"59,481",422,"82,946",791,WHITE ALONE
